Election_Precinct,Population,Asian,Korean,Latino,Dem,DTS,Rep
1430002A,2630,24,0,2292,1694,505,282
1430034A,2696,53,7,2280,1668,510,344
1430036A,2417,33,5,2064,1452,516,292
4450001A,2301,192,10,1753,1421,437,300
4450003A,2140,124,5,1674,1283,444,272
4450005A,3472,212,12,2500,1915,794,527
4450010A,3666,805,52,2099,2001,803,630
4450017A,3440,250,15,2543,1978,726,536
4450025A,3403,516,60,2024,1792,694,717
4450032A,3777,169,20,3087,2242,795,525
4450042A,3469,187,13,2682,2034,767,444
4450074A,2963,862,102,1379,1528,640,637
4450090A,3489,115,12,2856,2006,800,453
4450093A,1689,456,52,883,968,346,269
7450005A,110,10,9,82,54,28,20
9000038C,3520,79,10,2979,2129,799,279
9000049A,2670,788,453,775,1644,589,287
9000052A,3021,818,475,1061,1744,700,388
9000244A,2889,126,7,2255,1756,672,233
9000277A,1410,25,2,1187,879,316,117
9000464B,3156,1431,70,625,1570,1036,312
9000476A,1929,306,90,933,1143,434,205
9000582A,3048,54,3,2590,1951,654,245
9000716A,72,0,0,17,22,18,9
9000731A,2167,554,266,921,1286,506,242
9000763A,1895,81,39,1431,1155,432,173
9000870A,2533,647,533,1223,1404,636,323
9000884B,4558,1903,1438,1045,2553,1129,647
9000923A,1930,460,107,1064,1075,538,190
9000933A,1150,217,140,468,650,262,158
9000961A,103,4,0,61,51,28,10
9001023A,5376,1353,265,1989,3084,1211,654
9001025A,219,88,44,24,116,61,25
9001047B,2351,322,243,1488,1345,608,249
9001078A,3187,712,287,1131,1839,763,346
9001098A,4965,1460,883,1429,2836,1267,530
9001232A,2240,421,42,847,1271,546,263
9001410A,3022,82,18,2458,1850,733,243
9001470A,3988,1435,1095,1067,2323,951,509
9001509C,4091,875,103,1844,2409,908,470
9001521A,671,311,219,117,393,160,80
9001541A,957,312,183,210,560,232,113
9001541C,152,25,18,22,96,33,15
9001543A,3422,1256,808,742,1901,903,402
9001590A,3132,482,353,1563,1798,751,356
9001592A,1963,137,109,1424,1232,426,181
9001620A,1547,510,311,287,894,378,195
9001629A,3251,1318,957,633,1725,874,464
9001631A,3618,1270,706,972,2023,926,469
9001635B,2367,903,532,514,1346,605,273
9001678A,3065,646,478,983,1716,712,330
9001797A,2285,378,42,1077,1406,495,243
9001810A,3442,584,234,1482,2035,823,360
9001846A,2965,52,7,2473,1933,610,230
9001851A,2770,81,7,2242,1698,655,191
9001855B,2967,49,4,2497,1835,647,257
9001862C,2605,307,81,927,1642,584,185
9001890B,5046,1506,645,1498,2989,1229,480
9001895A,3335,64,2,2858,2086,719,287
9001899A,2695,39,7,2320,1725,557,238
9002001A,3165,423,321,1711,1922,720,299
9002017B,3304,543,286,1224,1981,780,311
9002044A,5958,1901,1303,1796,3374,1498,689
9002065A,3810,1174,676,986,2173,945,453
9002142A,1263,434,28,311,692,345,123
9002146A,3791,377,273,2200,2153,920,362
9002200A,3796,52,9,3235,2355,904,286
9002445A,2381,165,7,1775,1389,600,204
9002547A,3668,1281,789,429,2014,961,462
9002631A,2424,324,62,1166,1474,540,244
9002868A,1077,393,284,384,594,278,120
9002876A,406,24,3,298,244,92,37
9003185A,3333,1144,701,469,1758,868,495
9003251A,3735,756,481,1606,2162,853,432
9003267B,6,3,3,2,5,0,0
9003711A,3127,468,360,1650,1665,815,372
9003763A,4938,1599,1022,1177,2817,1238,563
9003952A,3310,761,617,1616,1912,838,346
9004120B,2750,73,12,2187,1688,605,247
9004127A,455,18,9,39,285,106,17
9004515A,323,5,2,205,195,68,30
9005006C,336,132,94,57,187,79,55
9005007A,1224,184,83,442,721,299,114
9005020A,495,285,190,53,254,143,77
9005106A,4142,628,59,1909,2092,964,669
9005400A,1747,368,289,1000,970,428,216
9005401A,3917,1498,1178,1473,2166,966,560
9005769B,4108,695,351,1348,2215,1051,475
9007016A,1886,786,375,306,1049,475,216
9007114A,2219,49,5,1803,1397,486,176
9007542A,2412,193,129,1578,1400,549,257
,238913,45215,22691,120386,138457,56335,27611